"INTERVAL_DATETIME","DUID","LASTCHANGED","MWH_READINGS_ANOMALY"
"7/5/2025 4:05","BARCSF1","7/5/2025 4:00",0.2
"7/5/2025 4:05","BUTLERSG","7/5/2025 4:00",7.499999
"7/5/2025 4:05","BWTR1","7/5/2025 4:00",-23.60708
"7/5/2025 4:05","CAPTL_WF","7/5/2025 4:00",0
"7/5/2025 4:05","CHALLHWF","7/5/2025 4:00",40.099998
"7/5/2025 4:05","CLOVER","7/5/2025 4:00",0
"7/5/2025 4:05","CLUNY","7/5/2025 4:00",2.142824
"7/5/2025 4:05","CONDONG1","7/5/2025 4:00",23.92
"7/5/2025 4:05","CULLRGWF","7/5/2025 4:00",0.53
"7/5/2025 4:05","DIAPURWF1","7/5/2025 4:00",5.3
"7/5/2025 4:05","ERGT01","7/5/2025 4:00",0
"7/5/2025 4:05","GB01","7/5/2025 4:00",0
"7/5/2025 4:05","GERMCRK","7/5/2025 4:00",16.127001
"7/5/2025 4:05","GRIFSF1","7/5/2025 4:00",0.001526
"7/5/2025 4:05","HUGSF1","7/5/2025 4:00",-0.2
"7/5/2025 4:05","KEPBG1","7/5/2025 4:00",0
"7/5/2025 4:05","LRSF1","7/5/2025 4:00",0
"7/5/2025 4:05","MBAHNTH","7/5/2025 4:00",24.299999
"7/5/2025 4:05","MLSP1","7/5/2025 4:00",0.038
"7/5/2025 4:05","MLWF1","7/5/2025 4:00",5.145
"7/5/2025 4:05","PALOONA","7/5/2025 4:00",21.92
"7/5/2025 4:05","PIONEER","7/5/2025 4:00",36.299999
"7/5/2025 4:05","PORTWF","7/5/2025 4:00",45.299999
"7/5/2025 4:05","REPULSE","7/5/2025 4:00",3.059739
"7/5/2025 4:05","ROWALLAN","7/5/2025 4:00",-0.00856
"7/5/2025 4:05","ROYALLA1","7/5/2025 4:00",0
"7/5/2025 4:05","RPCG","7/5/2025 4:00",-0.6
"7/5/2025 4:05","RUBICON","7/5/2025 4:00",0.18
"7/5/2025 4:05","SHOAL1","7/5/2025 4:00",43.299999
"7/5/2025 4:05","TULLYSM1","7/5/2025 4:00",10
"7/5/2025 4:05","WAUBRAWF","7/5/2025 4:00",171.667999
"7/5/2025 4:05","WNSF1","7/5/2025 4:00",0
"7/5/2025 4:05","WOOLNTH1","7/5/2025 4:00",14.629999
"7/5/2025 4:05","YAMBUKWF","7/5/2025 4:00",10.3
"7/5/2025 4:05","YSWF1","7/5/2025 4:00",0.5
"7/5/2025 4:10","BARCSF1","7/5/2025 4:05",0.2
"7/5/2025 4:10","BUTLERSG","7/5/2025 4:05",7.499999
"7/5/2025 4:10","BWTR1","7/5/2025 4:05",-23.60708
"7/5/2025 4:10","CAPTL_WF","7/5/2025 4:05",0
"7/5/2025 4:10","CHALLHWF","7/5/2025 4:05",40.900002
"7/5/2025 4:10","CLOVER","7/5/2025 4:05",0
"7/5/2025 4:10","CLUNY","7/5/2025 4:05",10.476080000000001
"7/5/2025 4:10","CONDONG1","7/5/2025 4:05",23.26
"7/5/2025 4:10","CULLRGWF","7/5/2025 4:05",0.49
"7/5/2025 4:10","DIAPURWF1","7/5/2025 4:05",26.5
"7/5/2025 4:10","ERGT01","7/5/2025 4:05",0
"7/5/2025 4:10","GB01","7/5/2025 4:05",0
"7/5/2025 4:10","GERMCRK","7/5/2025 4:05",81.000005
"7/5/2025 4:10","GRIFSF1","7/5/2025 4:05",0.001526
"7/5/2025 4:10","HUGSF1","7/5/2025 4:05",-0.2
"7/5/2025 4:10","KEPBG1","7/5/2025 4:05",0
"7/5/2025 4:10","LRSF1","7/5/2025 4:05",0
"7/5/2025 4:10","MBAHNTH","7/5/2025 4:05",24
