"INTERVAL_DATETIME","DUID","MWH_READING","LASTCHANGED"
"7/5/2025 4:05","BARCSF1",0.2,"7/5/2025 4:00"
"7/5/2025 4:05","BUTLERSG",7.499999,"7/5/2025 4:00"
"7/5/2025 4:05","BWTR1",-23.60708,"7/5/2025 4:00"
"7/5/2025 4:05","CAPTL_WF",0,"7/5/2025 4:00"
"7/5/2025 4:05","CHALLHWF",40.099998,"7/5/2025 4:00"
"7/5/2025 4:05","CLOVER",0,"7/5/2025 4:00"
"7/5/2025 4:05","CLUNY",2.142824,"7/5/2025 4:00"
"7/5/2025 4:05","CONDONG1",23.92,"7/5/2025 4:00"
"7/5/2025 4:05","CULLRGWF",0.53,"7/5/2025 4:00"
"7/5/2025 4:05","DIAPURWF1",5.3,"7/5/2025 4:00"
"7/5/2025 4:05","ERGT01",0,"7/5/2025 4:00"
"7/5/2025 4:05","GB01",0,"7/5/2025 4:00"
"7/5/2025 4:05","GERMCRK",16.127001,"7/5/2025 4:00"
"7/5/2025 4:05","GRIFSF1",0.001526,"7/5/2025 4:00"
"7/5/2025 4:05","HUGSF1",-0.2,"7/5/2025 4:00"
"7/5/2025 4:05","KEPBG1",0,"7/5/2025 4:00"
"7/5/2025 4:05","LRSF1",0,"7/5/2025 4:00"
"7/5/2025 4:05","MBAHNTH",24.299999,"7/5/2025 4:00"
"7/5/2025 4:05","MLSP1",0.038,"7/5/2025 4:00"
"7/5/2025 4:05","MLWF1",5.145,"7/5/2025 4:00"
"7/5/2025 4:05","PALOONA",21.92,"7/5/2025 4:00"
"7/5/2025 4:05","PIONEER",36.299999,"7/5/2025 4:00"
"7/5/2025 4:05","PORTWF",45.299999,"7/5/2025 4:00"
"7/5/2025 4:05","REPULSE",3.059739,"7/5/2025 4:00"
"7/5/2025 4:05","ROWALLAN",-0.00856,"7/5/2025 4:00"
"7/5/2025 4:05","ROYALLA1",0,"7/5/2025 4:00"
"7/5/2025 4:05","RPCG",-0.6,"7/5/2025 4:00"
"7/5/2025 4:05","RUBICON",0.18,"7/5/2025 4:00"
"7/5/2025 4:05","SHOAL1",43.299999,"7/5/2025 4:00"
"7/5/2025 4:05","TULLYSM1",10,"7/5/2025 4:00"
"7/5/2025 4:05","WAUBRAWF",171.667999,"7/5/2025 4:00"
