"Time","Source","Destination","Protocol","Length"
0,"ipcas_21:73:33","IecTc57_01:00:01","GOOSE",149
0.000127562,"ipcas_21:73:33","IecTc57_01:00:01","GOOSE",146
0.001166127,"ipcas_21:73:33","IecTc57_01:00:01","GOOSE",203
0.003040166,"ipcas_21:73:32","IecTc57_01:00:01","GOOSE",149
0.003045599,"ipcas_21:73:32","IecTc57_01:00:01","GOOSE",146
0.003046376,"ipcas_21:73:32","IecTc57_01:00:01","GOOSE",203
0.013913334,"ipcas_21:73:31","IecTc57_01:00:01","GOOSE",149
0.013921805,"ipcas_21:73:31","IecTc57_01:00:01","GOOSE",146
0.013922637,"ipcas_21:73:31","IecTc57_01:00:01","GOOSE",203
0.01392338,"ipcas_21:73:30","IecTc57_01:00:01","GOOSE",149
0.013924079,"ipcas_21:73:30","IecTc57_01:00:01","GOOSE",146
0.013924707,"ipcas_21:73:30","IecTc57_01:00:01","GOOSE",203
0.013925357,"ipcas_21:73:29","IecTc57_01:00:01","GOOSE",149
0.01392609,"ipcas_21:73:29","IecTc57_01:00:01","GOOSE",146
0.013926783,"ipcas_21:73:29","IecTc57_01:00:01","GOOSE",203
0.013927444,"ipcas_21:73:28","IecTc57_01:00:01","GOOSE",149
0.013928101,"ipcas_21:73:28","IecTc57_01:00:01","GOOSE",146
0.013928729,"ipcas_21:73:28","IecTc57_01:00:01","GOOSE",203
0.013929471,"ipcas_21:73:27","IecTc57_01:00:01","GOOSE",149
0.013930146,"ipcas_21:73:27","IecTc57_01:00:01","GOOSE",149
0.013931295,"ipcas_21:73:27","IecTc57_01:00:01","GOOSE",206
0.013931937,"ipcas_21:73:26","IecTc57_01:00:01","GOOSE",149
0.016553588,"ipcas_21:73:26","IecTc57_01:00:01","GOOSE",149
0.016562064,"ipcas_21:73:26","IecTc57_01:00:01","GOOSE",206
0.016562978,"ipcas_21:73:25","IecTc57_01:00:01","GOOSE",152
0.01656378,"ipcas_21:73:25","IecTc57_01:00:01","GOOSE",143
0.016564653,"ipcas_21:73:25","IecTc57_01:00:01","GOOSE",191
0.018859813,"ipcas_21:73:24","IecTc57_01:00:01","GOOSE",149
0.018862878,"ipcas_21:73:24","IecTc57_01:00:01","GOOSE",146
0.018863275,"ipcas_21:73:24","IecTc57_01:00:01","GOOSE",200
0.973744123,"ipcas_21:73:23","IecTc57_01:00:01","GOOSE",149
0.973751668,"ipcas_21:73:23","IecTc57_01:00:01","GOOSE",146
0.973752038,"ipcas_21:73:23","IecTc57_01:00:01","GOOSE",200
0.975897779,"ipcas_21:73:22","IecTc57_01:00:01","GOOSE",149
0.976249171,"ipcas_21:73:22","IecTc57_01:00:01","GOOSE",146
0.976753147,"ipcas_21:73:22","IecTc57_01:00:01","GOOSE",198
0.980097273,"ipcas_21:73:21","IecTc57_01:00:01","GOOSE",149
0.980438355,"ipcas_21:73:21","IecTc57_01:00:01","GOOSE",146
0.980440789,"ipcas_21:73:21","IecTc57_01:00:01","GOOSE",198
0.982337204,"ipcas_21:73:20","IecTc57_01:00:01","GOOSE",149
0.98233993,"ipcas_21:73:20","IecTc57_01:00:01","GOOSE",146
0.982444381,"ipcas_21:73:20","IecTc57_01:00:01","GOOSE",198
0.986027802,"ipcas_21:73:19","IecTc57_01:00:01","GOOSE",149
0.986033214,"ipcas_21:73:19","IecTc57_01:00:01","GOOSE",146
0.986033986,"ipcas_21:73:19","IecTc57_01:00:01","GOOSE",192
0.987952862,"ipcas_21:73:18","IecTc57_01:00:01","GOOSE",149
0.987957372,"ipcas_21:73:18","IecTc57_01:00:01","GOOSE",146
0.987957717,"ipcas_21:73:18","IecTc57_01:00:01","GOOSE",198
0.989938687,"ipcas_21:73:17","IecTc57_01:00:01","GOOSE",149
0.989943511,"ipcas_21:73:17","IecTc57_01:00:01","GOOSE",146
0.989943915,"ipcas_21:73:17","IecTc57_01:00:01","GOOSE",198
0.990211921,"ipcas_21:73:16","IecTc57_01:00:01","GOOSE",131
0.990313318,"ipcas_21:73:16","IecTc57_01:00:01","GOOSE",166
1.032149171,"ipcas_21:73:33","IecTc57_01:00:01","GOOSE",149
1.032157034,"ipcas_21:73:33","IecTc57_01:00:01","GOOSE",146
1.032157369,"ipcas_21:73:33","IecTc57_01:00:01","GOOSE",203
1.038969834,"ipcas_21:73:32","IecTc57_01:00:01","GOOSE",149
1.038974158,"ipcas_21:73:32","IecTc57_01:00:01","GOOSE",146
1.03897464,"ipcas_21:73:32","IecTc57_01:00:01","GOOSE",203
1.038975286,"ipcas_21:73:31","IecTc57_01:00:01","GOOSE",149
1.038975851,"ipcas_21:73:31","IecTc57_01:00:01","GOOSE",146
1.038976259,"ipcas_21:73:31","IecTc57_01:00:01","GOOSE",203
1.060726109,"ipcas_21:73:30","IecTc57_01:00:01","GOOSE",149
1.060730648,"ipcas_21:73:30","IecTc57_01:00:01","GOOSE",146
1.060731053,"ipcas_21:73:30","IecTc57_01:00:01","GOOSE",203
1.064071251,"ipcas_21:73:29","IecTc57_01:00:01","GOOSE",149
1.064080061,"ipcas_21:73:29","IecTc57_01:00:01","GOOSE",146
1.064081074,"ipcas_21:73:29","IecTc57_01:00:01","GOOSE",203
1.064081864,"ipcas_21:73:28","IecTc57_01:00:01","GOOSE",149
1.067303018,"ipcas_21:73:28","IecTc57_01:00:01","GOOSE",146
1.06731253,"ipcas_21:73:28","IecTc57_01:00:01","GOOSE",203
1.067313527,"ipcas_21:73:27","IecTc57_01:00:01","GOOSE",149
1.067314653,"ipcas_21:73:27","IecTc57_01:00:01","GOOSE",149
1.067315055,"ipcas_21:73:27","IecTc57_01:00:01","GOOSE",206
1.06835628,"ipcas_21:73:26","IecTc57_01:00:01","GOOSE",149
1.068360824,"ipcas_21:73:26","IecTc57_01:00:01","GOOSE",149
1.068361122,"ipcas_21:73:26","IecTc57_01:00:01","GOOSE",206
1.069467581,"ipcas_21:73:25","IecTc57_01:00:01","GOOSE",152
