No.,Time,Source,Destination,Protocol,Length,SrcPort,DstPort,Flags,Seq,Ack,Win,Len,MSS,Direction,TransID,UnitID,FuncCode,FuncDesc,Other Protocol Details
1,0.0,192.168.1.100,192.168.1.104,TCP,62,3206,502,SYN,0,,64240,0,1460,,,,,,
2,0.000185,192.168.1.104,192.168.1.100,TCP,62,502,3206,"SYN, ACK",0,1,64240,0,1460,,,,,,
3,0.00034,192.168.1.100,192.168.1.104,TCP,54,3206,502,ACK,1,1,64240,0,,,,,,,
4,0.0009,192.168.1.100,192.168.1.104,Modbus/TCP,66,,,,,,,,,Query:,2597,1,3,Read Holding Registers,
5,0.001489,192.168.1.100,192.168.1.105,TCP,62,3207,502,SYN,0,,64240,0,1460,,,,,,
6,0.001662,192.168.1.105,192.168.1.100,TCP,62,502,3207,"SYN, ACK",0,1,64240,0,1460,,,,,,
7,0.001756,192.168.1.104,192.168.1.100,Modbus/TCP,71,,,,,,,,,Response:,2597,1,3,Read Holding Registers,
8,0.00183,192.168.1.100,192.168.1.105,TCP,54,3207,502,ACK,1,1,64240,0,,,,,,,
9,0.002377,192.168.1.100,192.168.1.105,Modbus/TCP,66,,,,,,,,,Query:,2548,1,3,Read Holding Registers,
10,0.002923,192.168.1.100,192.168.1.102,TCP,62,3208,502,SYN,0,,64240,0,1460,,,,,,
11,0.003086,192.168.1.102,192.168.1.100,TCP,62,502,3208,"SYN, ACK",0,1,64240,0,1460,,,,,,
12,0.003227,192.168.1.105,192.168.1.100,Modbus/TCP,71,,,,,,,,,Response:,2548,1,3,Read Holding Registers,
13,0.003243,192.168.1.100,192.168.1.102,TCP,54,3208,502,ACK,1,1,64240,0,,,,,,,
14,0.003785,192.168.1.100,192.168.1.102,Modbus/TCP,66,,,,,,,,,Query:,2593,1,3,Read Holding Registers,
15,0.004631,192.168.1.102,192.168.1.100,Modbus/TCP,71,,,,,,,,,Response:,2593,1,3,Read Holding Registers,
16,0.005073,192.168.1.100,192.168.1.104,TCP,54,3206,502,"FIN, ACK",13,18,64223,0,,,,,,,
17,0.005294,192.168.1.104,192.168.1.100,TCP,54,502,3206,ACK,18,14,64228,0,,,,,,,
18,0.005512,192.168.1.104,192.168.1.100,TCP,54,502,3206,"FIN, ACK",18,14,64228,0,,,,,,,
19,0.005611,192.168.1.100,192.168.1.104,TCP,54,3206,502,ACK,14,19,64223,0,,,,,,,
20,0.006331,192.168.1.100,192.168.1.105,TCP,54,3207,502,"FIN, ACK",13,18,64223,0,,,,,,,
21,0.006471,192.168.1.105,192.168.1.100,TCP,54,502,3207,ACK,18,14,64228,0,,,,,,,
22,0.006688,192.168.1.105,192.168.1.100,TCP,54,502,3207,"FIN, ACK",18,14,64228,0,,,,,,,
23,0.006778,192.168.1.100,192.168.1.105,TCP,54,3207,502,ACK,14,19,64223,0,,,,,,,
24,0.007282,192.168.1.100,192.168.1.102,TCP,54,3208,502,"FIN, ACK",13,18,64223,0,,,,,,,
25,0.007426,192.168.1.102,192.168.1.100,TCP,54,502,3208,ACK,18,14,64228,0,,,,,,,
26,0.007648,192.168.1.102,192.168.1.100,TCP,54,502,3208,"FIN, ACK",18,14,64228,0,,,,,,,
27,0.007731,192.168.1.100,192.168.1.102,TCP,54,3208,502,ACK,14,19,64223,0,,,,,,,
28,0.008189,192.168.1.100,192.168.1.106,TCP,62,3209,502,SYN,0,,64240,0,1460,,,,,,
29,0.008333,192.168.1.106,192.168.1.100,TCP,62,502,3209,"SYN, ACK",0,1,64240,0,1460,,,,,,
30,0.008422,192.168.1.100,192.168.1.106,TCP,54,3209,502,ACK,1,1,64240,0,,,,,,,
31,0.008811,192.168.1.100,192.168.1.106,Modbus/TCP,66,,,,,,,,,Query:,2594,1,3,Read Holding Registers,
32,0.009059,192.168.1.100,192.168.1.101,TCP,62,3211,502,SYN,0,,64240,0,1460,,,,,,
33,0.009228,192.168.1.101,192.168.1.100,TCP,62,502,3211,"SYN, ACK",0,1,64240,0,1460,,,,,,
34,0.009325,192.168.1.100,192.168.1.101,TCP,54,3211,502,ACK,1,1,64240,0,,,,,,,
35,0.009674,192.168.1.106,192.168.1.100,Modbus/TCP,71,,,,,,,,,Response:,2594,1,3,Read Holding Registers,
36,0.009957,192.168.1.100,192.168.1.101,Modbus/TCP,66,,,,,,,,,Query:,2566,1,3,Read Holding Registers,
37,0.010282,192.168.1.100,192.168.1.104,TCP,62,3212,502,SYN,0,,64240,0,1460,,,,,,
38,0.010403,192.168.1.104,192.168.1.100,TCP,62,502,3212,"SYN, ACK",0,1,64240,0,1460,,,,,,
39,0.010492,192.168.1.100,192.168.1.104,TCP,54,3212,502,ACK,1,1,64240,0,,,,,,,
40,0.010686,192.168.1.101,192.168.1.100,Modbus/TCP,71,,,,,,,,,Response:,2566,1,3,Read Holding Registers,
41,0.010941,192.168.1.100,192.168.1.104,Modbus/TCP,66,,,,,,,,,Query:,2598,1,2,Read Discrete Inputs,
42,0.011254,192.168.1.100,192.168.1.105,TCP,62,3213,502,SYN,0,,64240,0,1460,,,,,,
43,0.011379,192.168.1.105,192.168.1.100,TCP,62,502,3213,"SYN, ACK",0,1,64240,0,1460,,,,,,
44,0.011636,192.168.1.104,192.168.1.100,Modbus/TCP,64,,,,,,,,,Response:,2598,1,2,Read Discrete Inputs,
45,0.011731,192.168.1.100,192.168.1.105,TCP,54,3213,502,ACK,1,1,64240,0,,,,,,,
46,0.01212,192.168.1.100,192.168.1.105,Modbus/TCP,66,,,,,,,,,Query:,2549,1,2,Read Discrete Inputs,
47,0.012313,192.168.1.100,192.168.1.102,TCP,62,3214,502,SYN,0,,64240,0,1460,,,,,,
48,0.012443,192.168.1.102,192.168.1.100,TCP,62,502,3214,"SYN, ACK",0,1,64240,0,1460,,,,,,
49,0.012531,192.168.1.100,192.168.1.102,TCP,54,3214,502,ACK,1,1,64240,0,,,,,,,
50,0.012784,192.168.1.105,192.168.1.100,Modbus/TCP,64,,,,,,,,,Response:,2549,1,2,Read Discrete Inputs,
51,0.012978,192.168.1.100,192.168.1.102,Modbus/TCP,66,,,,,,,,,Query:,2594,1,2,Read Discrete Inputs,
52,0.013308,192.168.1.100,192.168.1.103,TCP,62,3210,502,SYN,0,,64240,0,1460,,,,,,
53,0.013463,192.168.1.103,192.168.1.100,TCP,62,502,3210,"SYN, ACK",0,1,64240,0,1460,,,,,,
54,0.013674,192.168.1.100,192.168.1.106,TCP,54,3209,502,"FIN, ACK",13,18,64223,0,,,,,,,
55,0.013704,192.168.1.102,192.168.1.100,Modbus/TCP,64,,,,,,,,,Response:,2594,1,2,Read Discrete Inputs,
56,0.01379,192.168.1.100,192.168.1.103,TCP,54,3210,502,ACK,1,1,64240,0,,,,,,,
57,0.013818,192.168.1.106,192.168.1.100,TCP,54,502,3209,ACK,18,14,64228,0,,,,,,,
58,0.014041,192.168.1.106,192.168.1.100,TCP,54,502,3209,"FIN, ACK",18,14,64228,0,,,,,,,
59,0.014589,192.168.1.100,192.168.1.103,Modbus/TCP,66,,,,,,,,,Query:,2580,1,3,Read Holding Registers,
60,0.014671,192.168.1.100,192.168.1.106,TCP,54,3209,502,ACK,14,19,64223,0,,,,,,,
61,0.015247,192.168.1.100,192.168.1.106,TCP,62,3215,502,SYN,0,,64240,0,1460,,,,,,
62,0.015328,192.168.1.103,192.168.1.100,Modbus/TCP,71,,,,,,,,,Response:,2580,1,3,Read Holding Registers,
63,0.015362,192.168.1.106,192.168.1.100,TCP,62,502,3215,"SYN, ACK",0,1,64240,0,1460,,,,,,
64,0.015456,192.168.1.100,192.168.1.106,TCP,54,3215,502,ACK,1,1,64240,0,,,,,,,
65,0.015835,192.168.1.100,192.168.1.106,Modbus/TCP,66,,,,,,,,,Query:,2595,1,2,Read Discrete Inputs,
66,0.016396,192.168.1.100,192.168.1.101,TCP,54,3211,502,"FIN, ACK",13,18,64223,0,,,,,,,
67,0.016524,192.168.1.106,192.168.1.100,Modbus/TCP,64,,,,,,,,,Response:,2595,1,2,Read Discrete Inputs,
68,0.016552,192.168.1.101,192.168.1.100,TCP,54,502,3211,ACK,18,14,64228,0,,,,,,,
69,0.016831,192.168.1.101,192.168.1.100,TCP,54,502,3211,"FIN, ACK",18,14,64228,0,,,,,,,
70,0.016916,192.168.1.100,192.168.1.101,TCP,54,3211,502,ACK,14,19,64223,0,,,,,,,
71,0.017391,192.168.1.100,192.168.1.101,TCP,62,3216,502,SYN,0,,64240,0,1460,,,,,,
72,0.017509,192.168.1.101,192.168.1.100,TCP,62,502,3216,"SYN, ACK",0,1,64240,0,1460,,,,,,
73,0.017615,192.168.1.100,192.168.1.101,TCP,54,3216,502,ACK,1,1,64240,0,,,,,,,
74,0.017987,192.168.1.100,192.168.1.101,Modbus/TCP,66,,,,,,,,,Query:,2567,1,2,Read Discrete Inputs,
75,0.018477,192.168.1.100,192.168.1.104,TCP,54,3212,502,"FIN, ACK",13,11,64230,0,,,,,,,
76,0.018633,192.168.1.104,192.168.1.100,TCP,54,502,3212,ACK,11,14,64228,0,,,,,,,
77,0.018678,192.168.1.101,192.168.1.100,Modbus/TCP,64,,,,,,,,,Response:,2567,1,2,Read Discrete Inputs,
78,0.018883,192.168.1.104,192.168.1.100,TCP,54,502,3212,"FIN, ACK",11,14,64228,0,,,,,,,
79,0.018963,192.168.1.100,192.168.1.104,TCP,54,3212,502,ACK,14,12,64230,0,,,,,,,
80,0.019439,192.168.1.100,192.168.1.104,TCP,62,3217,502,SYN,0,,64240,0,1460,,,,,,
81,0.019554,192.168.1.104,192.168.1.100,TCP,62,502,3217,"SYN, ACK",0,1,64240,0,1460,,,,,,
82,0.019649,192.168.1.100,192.168.1.104,TCP,54,3217,502,ACK,1,1,64240,0,,,,,,,
83,0.020021,192.168.1.100,192.168.1.104,Modbus/TCP,66,,,,,,,,,Query:,2599,1,1,Read Coils,
84,0.020508,192.168.1.100,192.168.1.105,TCP,54,3213,502,"FIN, ACK",13,11,64230,0,,,,,,,
85,0.02067,192.168.1.105,192.168.1.100,TCP,54,502,3213,ACK,11,14,64228,0,,,,,,,
86,0.02081,192.168.1.104,192.168.1.100,Modbus/TCP,64,,,,,,,,,Response:,2599,1,1,Read Coils,
87,0.020925,192.168.1.105,192.168.1.100,TCP,54,502,3213,"FIN, ACK",11,14,64228,0,,,,,,,
88,0.021005,192.168.1.100,192.168.1.105,TCP,54,3213,502,ACK,14,12,64230,0,,,,,,,
89,0.021476,192.168.1.100,192.168.1.105,TCP,62,3218,502,SYN,0,,64240,0,1460,,,,,,
90,0.021592,192.168.1.105,192.168.1.100,TCP,62,502,3218,"SYN, ACK",0,1,64240,0,1460,,,,,,
91,0.021688,192.168.1.100,192.168.1.105,TCP,54,3218,502,ACK,1,1,64240,0,,,,,,,
92,0.022061,192.168.1.100,192.168.1.105,Modbus/TCP,66,,,,,,,,,Query:,2550,1,1,Read Coils,
93,0.022547,192.168.1.100,192.168.1.102,TCP,54,3214,502,"FIN, ACK",13,11,64230,0,,,,,,,
94,0.022721,192.168.1.102,192.168.1.100,TCP,54,502,3214,ACK,11,14,64228,0,,,,,,,
95,0.022744,192.168.1.105,192.168.1.100,Modbus/TCP,64,,,,,,,,,Response:,2550,1,1,Read Coils,
96,0.022986,192.168.1.102,192.168.1.100,TCP,54,502,3214,"FIN, ACK",11,14,64228,0,,,,,,,
97,0.023065,192.168.1.100,192.168.1.102,TCP,54,3214,502,ACK,14,12,64230,0,,,,,,,
98,0.023512,192.168.1.100,192.168.1.102,TCP,62,3219,502,SYN,0,,64240,0,1460,,,,,,
99,0.023628,192.168.1.102,192.168.1.100,TCP,62,502,3219,"SYN, ACK",0,1,64240,0,1460,,,,,,
100,0.023722,192.168.1.100,192.168.1.102,TCP,54,3219,502,ACK,1,1,64240,0,,,,,,,
101,0.0241,192.168.1.100,192.168.1.102,Modbus/TCP,66,,,,,,,,,Query:,2595,1,1,Read Coils,
102,0.024607,192.168.1.100,192.168.1.103,TCP,54,3210,502,"FIN, ACK",13,18,64223,0,,,,,,,
103,0.024771,192.168.1.103,192.168.1.100,TCP,54,502,3210,ACK,18,14,64228,0,,,,,,,
104,0.024788,192.168.1.102,192.168.1.100,Modbus/TCP,64,,,,,,,,,Response:,2595,1,1,Read Coils,
105,0.025016,192.168.1.103,192.168.1.100,TCP,54,502,3210,"FIN, ACK",18,14,64228,0,,,,,,,
106,0.025097,192.168.1.100,192.168.1.103,TCP,54,3210,502,ACK,14,19,64223,0,,,,,,,
107,0.025566,192.168.1.100,192.168.1.103,TCP,62,3220,502,SYN,0,,64240,0,1460,,,,,,
108,0.025681,192.168.1.103,192.168.1.100,TCP,62,502,3220,"SYN, ACK",0,1,64240,0,1460,,,,,,
109,0.025775,192.168.1.100,192.168.1.103,TCP,54,3220,502,ACK,1,1,64240,0,,,,,,,
110,0.026148,192.168.1.100,192.168.1.103,Modbus/TCP,66,,,,,,,,,Query:,2581,1,2,Read Discrete Inputs,
111,0.026631,192.168.1.100,192.168.1.106,TCP,54,3215,502,"FIN, ACK",13,11,64230,0,,,,,,,
112,0.026787,192.168.1.106,192.168.1.100,TCP,54,502,3215,ACK,11,14,64228,0,,,,,,,
113,0.02681,192.168.1.103,192.168.1.100,Modbus/TCP,64,,,,,,,,,Response:,2581,1,2,Read Discrete Inputs,
114,0.027024,192.168.1.106,192.168.1.100,TCP,54,502,3215,"FIN, ACK",11,14,64228,0,,,,,,,
115,0.027106,192.168.1.100,192.168.1.106,TCP,54,3215,502,ACK,14,12,64230,0,,,,,,,
116,0.027587,192.168.1.100,192.168.1.106,TCP,62,3221,502,SYN,0,,64240,0,1460,,,,,,
117,0.027702,192.168.1.106,192.168.1.100,TCP,62,502,3221,"SYN, ACK",0,1,64240,0,1460,,,,,,
