"Time","Source","Destination","direction","trans_id","unit_id","func_code","rest"
0.0009,"192.168.1.100","192.168.1.104","Query","2597","1","3","Read Holding Registers"
0.001756,"192.168.1.104","192.168.1.100","Response","2597","1","3","Read Holding Registers"
0.002377,"192.168.1.100","192.168.1.105","Query","2548","1","3","Read Holding Registers"
0.003227,"192.168.1.105","192.168.1.100","Response","2548","1","3","Read Holding Registers"
0.003785,"192.168.1.100","192.168.1.102","Query","2593","1","3","Read Holding Registers"
0.004631,"192.168.1.102","192.168.1.100","Response","2593","1","3","Read Holding Registers"
0.008811,"192.168.1.100","192.168.1.106","Query","2594","1","3","Read Holding Registers"
0.009674,"192.168.1.106","192.168.1.100","Response","2594","1","3","Read Holding Registers"
0.009957,"192.168.1.100","192.168.1.101","Query","2566","1","3","Read Holding Registers"
0.010686,"192.168.1.101","192.168.1.100","Response","2566","1","3","Read Holding Registers"
0.010941,"192.168.1.100","192.168.1.104","Query","2598","1","2","Read Discrete Inputs"
0.011636,"192.168.1.104","192.168.1.100","Response","2598","1","2","Read Discrete Inputs"
0.01212,"192.168.1.100","192.168.1.105","Query","2549","1","2","Read Discrete Inputs"
0.012784,"192.168.1.105","192.168.1.100","Response","2549","1","2","Read Discrete Inputs"
0.012978,"192.168.1.100","192.168.1.102","Query","2594","1","2","Read Discrete Inputs"
0.013704,"192.168.1.102","192.168.1.100","Response","2594","1","2","Read Discrete Inputs"
0.014589,"192.168.1.100","192.168.1.103","Query","2580","1","3","Read Holding Registers"
0.015328,"192.168.1.103","192.168.1.100","Response","2580","1","3","Read Holding Registers"
0.015835,"192.168.1.100","192.168.1.106","Query","2595","1","2","Read Discrete Inputs"
0.016524,"192.168.1.106","192.168.1.100","Response","2595","1","2","Read Discrete Inputs"
0.017987,"192.168.1.100","192.168.1.101","Query","2567","1","2","Read Discrete Inputs"
0.018678,"192.168.1.101","192.168.1.100","Response","2567","1","2","Read Discrete Inputs"
0.020021,"192.168.1.100","192.168.1.104","Query","2599","1","1","Read Coils"
0.02081,"192.168.1.104","192.168.1.100","Response","2599","1","1","Read Coils"
0.022061,"192.168.1.100","192.168.1.105","Query","2550","1","1","Read Coils"
0.022744,"192.168.1.105","192.168.1.100","Response","2550","1","1","Read Coils"
0.0241,"192.168.1.100","192.168.1.102","Query","2595","1","1","Read Coils"
0.024788,"192.168.1.102","192.168.1.100","Response","2595","1","1","Read Coils"
0.026148,"192.168.1.100","192.168.1.103","Query","2581","1","2","Read Discrete Inputs"
0.02681,"192.168.1.103","192.168.1.100","Response","2581","1","2","Read Discrete Inputs"
0.028184,"192.168.1.100","192.168.1.106","Query","2596","1","1","Read Coils"
0.02886,"192.168.1.106","192.168.1.100","Response","2596","1","1","Read Coils"
0.03036,"192.168.1.100","192.168.1.101","Query","2568","1","1","Read Coils"
0.031046,"192.168.1.101","192.168.1.100","Response","2568","1","1","Read Coils"
0.035353,"192.168.1.100","192.168.1.103","Query","2582","1","1","Read Coils"
0.035717,"192.168.1.103","192.168.1.100","Response","2582","1","1","Read Coils"
10.000329,"192.168.1.100","192.168.1.101","Query","2569","1","3","Read Holding Registers"
10.001172,"192.168.1.101","192.168.1.100","Response","2569","1","3","Read Holding Registers"
10.00447,"192.168.1.100","192.168.1.104","Query","2600","1","3","Read Holding Registers"
10.005391,"192.168.1.104","192.168.1.100","Response","2600","1","3","Read Holding Registers"
10.005621,"192.168.1.100","192.168.1.105","Query","2551","1","3","Read Holding Registers"
10.006466,"192.168.1.105","192.168.1.100","Response","2551","1","3","Read Holding Registers"
10.006742,"192.168.1.100","192.168.1.103","Query","2583","1","3","Read Holding Registers"
10.007638,"192.168.1.103","192.168.1.100","Response","2583","1","3","Read Holding Registers"
10.007916,"192.168.1.100","192.168.1.106","Query","2597","1","3","Read Holding Registers"
10.008741,"192.168.1.106","192.168.1.100","Response","2597","1","3","Read Holding Registers"
10.009067,"192.168.1.100","192.168.1.101","Query","2570","1","2","Read Discrete Inputs"
10.009895,"192.168.1.101","192.168.1.100","Response","2570","1","2","Read Discrete Inputs"
10.011135,"192.168.1.100","192.168.1.102","Query","2596","1","3","Read Holding Registers"
10.011992,"192.168.1.102","192.168.1.100","Response","2596","1","3","Read Holding Registers"
10.012593,"192.168.1.100","192.168.1.104","Query","2601","1","2","Read Discrete Inputs"
10.01336,"192.168.1.104","192.168.1.100","Response","2601","1","2","Read Discrete Inputs"
10.014885,"192.168.1.100","192.168.1.105","Query","2552","1","2","Read Discrete Inputs"
10.015702,"192.168.1.105","192.168.1.100","Response","2552","1","2","Read Discrete Inputs"
10.018095,"192.168.1.100","192.168.1.103","Query","2584","1","2","Read Discrete Inputs"
10.018922,"192.168.1.103","192.168.1.100","Response","2584","1","2","Read Discrete Inputs"
10.019702,"192.168.1.100","192.168.1.106","Query","2598","1","2","Read Discrete Inputs"
10.020478,"192.168.1.106","192.168.1.100","Response","2598","1","2","Read Discrete Inputs"
10.022167,"192.168.1.100","192.168.1.101","Query","2571","1","1","Read Coils"
10.022974,"192.168.1.101","192.168.1.100","Response","2571","1","1","Read Coils"
10.024639,"192.168.1.100","192.168.1.102","Query","2597","1","2","Read Discrete Inputs"
10.025115,"192.168.1.102","192.168.1.100","Response","2597","1","2","Read Discrete Inputs"
10.026506,"192.168.1.100","192.168.1.104","Query","2602","1","1","Read Coils"
10.026879,"192.168.1.104","192.168.1.100","Response","2602","1","1","Read Coils"
10.027212,"192.168.1.100","192.168.1.103","Query","2585","1","1","Read Coils"
10.027602,"192.168.1.103","192.168.1.100","Response","2585","1","1","Read Coils"
10.028748,"192.168.1.100","192.168.1.106","Query","2599","1","1","Read Coils"
10.029127,"192.168.1.106","192.168.1.100","Response","2599","1","1","Read Coils"
10.029849,"192.168.1.100","192.168.1.102","Query","2598","1","1","Read Coils"
10.030222,"192.168.1.102","192.168.1.100","Response","2598","1","1","Read Coils"
10.030807,"192.168.1.100","192.168.1.105","Query","2553","1","1","Read Coils"
10.031184,"192.168.1.105","192.168.1.100","Response","2553","1","1","Read Coils"
11.163271,"192.168.1.100","192.168.1.101","Query","1","1","5","Write Single Coil"
11.163727,"192.168.1.101","192.168.1.100","Response","1","1","5","Write Single Coil"
20.000614,"192.168.1.100","192.168.1.106","Query","2600","1","3","Read Holding Registers"
20.001475,"192.168.1.106","192.168.1.100","Response","2600","1","3","Read Holding Registers"
20.002087,"192.168.1.100","192.168.1.104","Query","2603","1","3","Read Holding Registers"
20.002963,"192.168.1.104","192.168.1.100","Response","2603","1","3","Read Holding Registers"
20.006813,"192.168.1.100","192.168.1.101","Query","2572","1","3","Read Holding Registers"
20.007693,"192.168.1.101","192.168.1.100","Response","2572","1","3","Read Holding Registers"
20.007912,"192.168.1.100","192.168.1.103","Query","2586","1","3","Read Holding Registers"
20.008743,"192.168.1.103","192.168.1.100","Response","2586","1","3","Read Holding Registers"
20.009214,"192.168.1.100","192.168.1.105","Query","2554","1","3","Read Holding Registers"
20.010066,"192.168.1.105","192.168.1.100","Response","2554","1","3","Read Holding Registers"
20.010379,"192.168.1.100","192.168.1.106","Query","2601","1","2","Read Discrete Inputs"
20.011201,"192.168.1.106","192.168.1.100","Response","2601","1","2","Read Discrete Inputs"
20.011529,"192.168.1.100","192.168.1.104","Query","2604","1","2","Read Discrete Inputs"
20.01235,"192.168.1.104","192.168.1.100","Response","2604","1","2","Read Discrete Inputs"
20.012751,"192.168.1.100","192.168.1.102","Query","2599","1","3","Read Holding Registers"
20.01358,"192.168.1.102","192.168.1.100","Response","2599","1","3","Read Holding Registers"
20.015332,"192.168.1.100","192.168.1.101","Query","2573","1","2","Read Discrete Inputs"
20.01615,"192.168.1.101","192.168.1.100","Response","2573","1","2","Read Discrete Inputs"
20.018045,"192.168.1.100","192.168.1.103","Query","2587","1","2","Read Discrete Inputs"
20.018844,"192.168.1.103","192.168.1.100","Response","2587","1","2","Read Discrete Inputs"
20.020533,"192.168.1.100","192.168.1.105","Query","2555","1","2","Read Discrete Inputs"
20.021335,"192.168.1.105","192.168.1.100","Response","2555","1","2","Read Discrete Inputs"
20.023029,"192.168.1.100","192.168.1.106","Query","2602","1","1","Read Coils"
20.023804,"192.168.1.106","192.168.1.100","Response","2602","1","1","Read Coils"
20.026819,"192.168.1.100","192.168.1.104","Query","2605","1","1","Read Coils"
