simulation_timestamp,row_index,energy_data,metadata
2025-09-10T21:30:30.700661,2,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'BUTLERSG', 'mwh_reading': 7.499999, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 7.499999, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:31.701073,4,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'CAPTL_WF', 'mwh_reading': 0.0, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 0.0, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:32.702310,5,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'CHALLHWF', 'mwh_reading': 40.099998, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 40.099998, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:33.703457,8,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'CONDONG1', 'mwh_reading': 23.92, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 23.92, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:34.704466,10,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'DIAPURWF1', 'mwh_reading': 5.3, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 5.3, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:35.705236,12,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'GB01', 'mwh_reading': 0.0, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 0.0, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:36.706093,13,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'GERMCRK', 'mwh_reading': 16.127001, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 16.127001, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:37.708173,15,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'HUGSF1', 'mwh_reading': -0.2, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': -0.2, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:38.709105,17,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'LRSF1', 'mwh_reading': 0.0, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 0.0, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:39.710093,19,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'MLSP1', 'mwh_reading': 0.038, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 0.038, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:40.710852,21,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'PALOONA', 'mwh_reading': 21.92, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 21.92, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:41.711605,23,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'PORTWF', 'mwh_reading': 45.299999, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 45.299999, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:42.712637,25,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'ROWALLAN', 'mwh_reading': -0.00856, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': -0.00856, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:43.714971,28,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'RUBICON', 'mwh_reading': 0.18, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 0.18, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:44.715835,30,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'TULLYSM1', 'mwh_reading': 10.0, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 10.0, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:45.716618,31,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'WAUBRAWF', 'mwh_reading': 171.667999, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 171.667999, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
2025-09-10T21:30:46.720206,33,"{'interval_datetime': '7/5/2025 4:05', 'device_id': 'WOOLNTH1', 'mwh_reading': 14.629999, 'last_changed': '7/5/2025 4:00', 'mwh_readings_anomaly': 14.629999, 'is_anomaly': False}","{'source_file': 'Both_dataset.csv', 'total_rows': 19915}"
